Flag,Total,Image?,27443
"Luxembourg (royal wedding, see Luxembourg folder)",13,No image,
Glory to Ukraine Lithuania is with you (see Vilnius folder),2,No image,
"Holland (orange with two black horses, says Holland in white bold at bottom)",2,No image,
"Barcelona F. C. (see Madrid folder, with 'CHAMPIONS' on it)",1,No image,
Bideford Victoria Park Bowling Club,1,No image,
"Italy (with shield, see Salzburg folder)",1,No image,
Ordo Sancti Casimiri (see Vilnius folder),1,No image,
"Porto F. C. (white cross, blue background, crest in centre)",1,No image,
S. S. C. Napoli (see Amsterdam folder),1,No image,
"S. S. C. Napoli (with badge, see Brussels folder)",1,No image,
EU,2056,,
Norway ,1157,,
Greece,974,,
Italy,968,,
Montenegro,810,,
Türkiye,710,,
Ukraine,672,,
UK,664,,
France,604,,
France (variant),574,,
Denmark,555,,
Finland,544,,
Spain,542,,
Romania,504,,
Germany,467,,
Monaco,436,,
South Korea,421,,
USA,419,,
Japan,406,,
Hungary,373,,
Rainbow,362,,
Poland,358,,
Sweden,345,,
Vienna,345,,
Portugal,339,,
Serbia,321,,
Albania,297,,
Switzerland,285,,
Liechtenstein,277,,
San Marino,268,,
Latvia,250,,
Bosnia and Herzegovina,243,,
Lithuania,242,,
Slovenia,212,,
Belgium,200,,
Netherlands,194,,
North Macedonia,194,,
Austria,165,,
Luxembourg,160,,
Bulgaria,154,,
Singapore ,154,,
"Sweden (household pennant, without cross)",153,,
Canada ,152,,
Estonia,148,,
Madrid (community),141,,
Malta,140,,
City and Republic of Bern (war flag),137,,
Bern,128,,
Montenegro (rotated for vertical hanging),120,,
Rainbow (intersex inclusive),115,,
Czechia,114,,
Brazil,105,,
Andorra,104,,
Hungary (unofficial state flag),103,,
Slovakia,101,,
Croatia,100,,
Maltese Civil Ensign,96,,
EU (rotated for vertical hanging),90,,
Moldova,90,,
Kosovo,89,,
Thailand,86,,
Lithuania (state flag),85,,
Russia,82,,
Australia,81,,
Ljubljana,77,,
Denmark (household pennant),76,,
Luxembourgish Civil Ensign,76,,
Ireland,75,,
Switzerland (rectangle),74,,
Yacht Club de Monaco (pennant),74,,
"Toulouse F. C. (see Toulouse folder, purple and white)",70,,
Amsterdam,67,,
Berlin,66,,
Bosnia and Herzegovina (rotated for vertical hanging),64,,
China,62,,
Romania (vertical hanging),62,,
Norway (household pennant),56,,
Florence (city),54,,
Kazakhstan ,53,,
Progress Pride ,53,,
Serbia (rotated for vertical hanging),51,,
Austria (state flag),50,,
Mexico,50,,
Bosniaks,48,,
England,48,,
Catalonia (Senyera),46,,
India,46,,
Wales,46,,
Argentina ,44,,
Tallinn,44,,
Denmark (Rigets),41,,
Spainish Civil Ensign,39,,
Spain (rotated for vertical hanging),37,,
Denmark Yacht Club,35,,
NATO,35,,
Alfa (maritime),34,,
Iceland,33,,
Chile,31,,
Germany (state flag),30,,
New Zealand,30,,
Saudi Arabia,30,,
Liechtenstein (rotated for vertical hanging),29,,
Yellow (Lavapiés protest),29,,
Madrid (city),28,,
Malaysia,27,,
Philippines ,27,,
Charlie (maritime),26,,
Cyprus,26,,
Devon,26,,
Echo (maritime),26,,
Imperial State of Iran,26,,
Princely House of Liechtenstein,26,,
Romeo (maritime),26,,
Taiwan,26,,
Vietnam,26,,
Indonesia,25,,
Lima (maritime),25,,
Vatican City,25,,
Hong Kong,24,,
Red Ensign,26,,
Greek Orthodox Church,23,,
Bravo (maritime),22,,
India (maritime),22,,
UAE,22,,
